   text	   data	    bss	    dec	    hex	filename
    380	      0	      0	    380	    17c	../../..//mediatek/platform/mt6575/uboot/addr_trans.o
   6488	      8	   4768	  11264	   2c00	../../..//mediatek/platform/mt6575/uboot/bmt.o
    192	      0	      4	    196	     c4	../../..//mediatek/platform/mt6575/uboot/boot_mode.o
    781	      0	      0	    781	    30d	../../..//mediatek/platform/mt6575/uboot/irq.o
   5927	      0	     28	   5955	   1743	../../..//mediatek/platform/mt6575/uboot/load_image.o
     48	      0	      0	     48	     30	../../..//mediatek/platform/mt6575/uboot/lowlevel_init.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6575/uboot/mmc_core.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6575/uboot/mmc_test.o
   8496	      0	    232	   8728	   2218	../../..//mediatek/platform/mt6575/uboot/msdc.o
    220	      0	      0	    220	     dc	../../..//mediatek/platform/mt6575/uboot/msdc_utils.o
    932	      0	      0	    932	    3a4	../../..//mediatek/platform/mt6575/uboot/mt6575_auxadc.o
    195	      0	      0	    195	     c3	../../..//mediatek/platform/mt6575/uboot/mt6575_bat.o
    798	      0	      0	    798	    31e	../../..//mediatek/platform/mt6575/uboot/mt6575_board.o
     60	      0	      0	     60	     3c	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_assert_layer.o
   2350	     20	    356	   2726	    aa6	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dbi.o
   3641	     20	    380	   4041	    fc9	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dpi.o
   3455	     20	    356	   3831	    ef7	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dsi.o
   4709	     64	    532	   5305	   14b9	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv.o
   2264	      0	    188	   2452	    994	../../..//mediatek/platform/mt6575/uboot/mt6575_dpi_drv.o
   4024	      0	    364	   4388	   1124	../../..//mediatek/platform/mt6575/uboot/mt6575_dsi_drv.o
    328	      0	      0	    328	    148	../../..//mediatek/platform/mt6575/uboot/mt6575_factory.o
    356	    192	     64	    612	    264	../../..//mediatek/platform/mt6575/uboot/mt6575_gpio_init.o
   6075	      4	      0	   6079	   17bf	../../..//mediatek/platform/mt6575/uboot/mt6575_gpio.o
   1695	      0	      0	   1695	    69f	../../..//mediatek/platform/mt6575/uboot/mt6575_i2c.o
    361	      0	      0	    361	    169	../../..//mediatek/platform/mt6575/uboot/mt6575_key.o
   8713	      0	   4056	  12769	   31e1	../../..//mediatek/platform/mt6575/uboot/mt6575_lcd_drv.o
   2126	      0	      4	   2130	    852	../../..//mediatek/platform/mt6575/uboot/mt6575_logo.o
   1234	      0	      0	   1234	    4d2	../../..//mediatek/platform/mt6575/uboot/mt6575_meta.o
   8212	   1752	    164	  10128	   2790	../../..//mediatek/platform/mt6575/uboot/mt6575_nand.o
    729	     80	      4	    813	    32d	../../..//mediatek/platform/mt6575/uboot/mt6575.o
    264	      0	      0	    264	    108	../../..//mediatek/platform/mt6575/uboot/mt6575_pll.o
  24592	      4	     12	  24608	   6020	../../..//mediatek/platform/mt6575/uboot/mt6575_pmic6329.o
   4718	     28	      8	   4754	   1292	../../..//mediatek/platform/mt6575/uboot/mt6575_pwm.o
    545	      0	      0	    545	    221	../../..//mediatek/platform/mt6575/uboot/mt6575_recovery.o
   1133	      0	      0	   1133	    46d	../../..//mediatek/platform/mt6575/uboot/mt6575_rtc.o
   1720	      0	      0	   1720	    6b8	../../..//mediatek/platform/mt6575/uboot/mt6575_sleep.o
   1761	     28	      4	   1793	    701	../../..//mediatek/platform/mt6575/uboot/mt65xx_leds.o
    963	      0	      8	    971	    3cb	../../..//mediatek/platform/mt6575/uboot/mtk_serial.o
    808	      0	      8	    816	    330	../../..//mediatek/platform/mt6575/uboot/mtk_timer.o
    284	      0	      4	    288	    120	../../..//mediatek/platform/mt6575/uboot/mtk_wdt.o
   1921	      0	   4236	   6157	   180d	../../..//mediatek/platform/mt6575/uboot/partition_mt.o
